"","name","state_abb","state_fips","code"
"1","Alabama","AL","1","01"
"2","Alaska","AK","2","02"
"3","American Samoa","AS","60",NA
"4","Arizona","AZ","4","03"
"5","Arkansas","AR","5","04"
"6","California","CA","6","05"
"7","Colorado","CO","8","06"
"8","Connecticut","CT","9","07"
"9","Delaware","DE","10","08"
"10","District of Columbia","DC","11","09"
"11","Florida","FL","12","10"
"12","Georgia","GA","13","11"
"13","Guam","GU","66",NA
"14","Hawaii","HI","15","12"
"15","Idaho","ID","16","13"
"16","Illinois","IL","17","14"
"17","Indiana","IN","18","15"
"18","Iowa","IA","19","16"
"19","Kansas","KS","20","17"
"20","Kentucky","KY","21","18"
"21","Louisiana","LA","22","19"
"22","Maine","ME","23","20"
"23","Maryland","MD","24","21"
"24","Massachusetts","MA","25","22"
"25","Michigan","MI","26","23"
"26","Minnesota","MN","27","24"
"27","Mississippi","MS","28","25"
"28","Missouri","MO","29","26"
"29","Montana","MT","30","27"
"30","Nebraska","NE","31","28"
"31","Nevada","NV","32","29"
"32","New Hampshire","NH","33","30"
"33","New Jersey","NJ","34","31"
"34","New Mexico","NM","35","32"
"35","New York","NY","36","33"
"36","North Carolina","NC","37","34"
"37","North Dakota","ND","38","35"
"38","Northern Mariana Islands","MP","69",NA
"39","Ohio","OH","39","36"
"40","Oklahoma","OK","40","37"
"41","Oregon","OR","41","38"
"42","Pennsylvania","PA","42","39"
"43","Puerto Rico","PR","72",NA
"44","Rhode Island","RI","44","40"
"45","South Carolina","SC","45","41"
"46","South Dakota","SD","46","42"
"47","Tennessee","TN","47","43"
"48","Texas","TX","48","44"
"49","Utah","UT","49","45"
"50","Vermont","VT","50","46"
"51","Virgin Islands","VI","78",NA
"52","Virginia","VA","51","47"
"53","Washington","WA","53","48"
"54","West Virginia","WV","54","49"
"55","Wisconsin","WI","55","50"
"56","Wyoming","WY","56","51"
